"contest_num","nickname","passed_time"
1,robspb,291420
1,robspb,291420
1,kay_si,291240
1,robspb,290880
1,robspb,290880
1,robspb,290700
1,robspb,290160
1,shnon_bell,290160
1,robspb,290160
1,shnon_bell,290040
1,robspb,290040
1,robspb,290040
1,Jeditem,289980
1,vl.n.ermakov,289740
1,d.pronin,289740
1,Jeditem,289380
1,robspb,288600
1,kuksha,288600
1,kuksha,288420
1,robspb,288420
1,kuksha,288300
1,albert_goryaeff,288300
1,biquaternion,288180
1,kuksha,288000
1,robspb,288000
1,kuksha,287940
1,kuksha,287700
1,kuksha,287580
1,markhubbatulin,287520
1,kuksha,287520
1,albert_goryaeff,287460
1,markhubbatulin,287460
1,albert_goryaeff,287220
1,d.pronin,287220
1,kuksha,287040
1,kuksha,286980
1,albert_goryaeff,286920
1,kuksha,286920
1,heaphop,286860
1,albert_goryaeff,286860
1,heaphop,286740
1,old.flanigan,286680
1,laol777,286680
1,kay_si,286560
1,albert_goryaeff,286500
1,GreySS,286440
1,GreySS,286320
1,kuksha,286320
1,GreySS,286260
1,Robur,286140
1,old.flanigan,286080
1,old.flanigan,286080
1,FarSir,286020
1,kuksha,285960
1,laol777,285840
1,Sokoloid,285780
1,kay_si,285720
1,laol777,285720
1,laol777,285660
1,kay_si,285660
1,Robur,285480
1,laol777,285480
1,magleb,285360
1,laol777,285300
1,magleb,285240
1,magleb,285060
1,robspb,284880
1,old.flanigan,284760
1,alibek_lfc,284700
1,old.flanigan,284700
1,alibek_lfc,284640
1,old.flanigan,284640
